"Name","Bank","Term","NoEmp","NewExist","LowDoc","DisbursementGross","MIS_Status","GrAppv","SBA_Appv","Status","pHat","yHat","Accuracy","TP","TN","FP","FN"
"JENSEN'S CLASSIC WOODWORKING I","CENTRAL BANK",240,5,"1","Y",127000,"P I F",142000,120700,"1",0.998396370152224,1,1,1,0,0,0
"BLALOCK BUSINESS SERVICE","WESTAMERICA BANK",120,1,"1","N",40000,"P I F",40000,36000,"1",0.921366987608129,1,1,1,0,0,0
"TORTILLA DE MI PUEBLO LLC","KEYBANK NATIONAL ASSOCIATION",71,7,"2","N",15000,"P I F",15000,7500,"1",0.759841665217703,1,1,1,0,0,0
"FAMILY INNOVATIONS INC","TWIN CITIES-METRO CERT. DEVEL",240,11,"1","N",140000,"P I F",148000,148000,"1",0.995935467745471,1,1,1,0,0,0
"ACTION INTERNATIONAL","KEYBANK NATIONAL ASSOCIATION",87,1,"2","N",40000,"P I F",40000,20000,"1",0.809316162067658,1,1,1,0,0,0
"4 Corners Digital Media Compan","BBCN BANK",58,6,"1","N",25000,"CHGOFF",25000,21250,"0",0.731672897372734,1,0,0,0,1,0
"ATLANTIC LASER INC AND PATSY D","IBERIABANK",249,12,"1","N",355000,"P I F",355000,266250,"1",0.996131474400371,1,1,1,0,0,0
"Rave Precision Inc.","WESTAMERICA BANK",121,21,"2","N",500000,"P I F",500000,375000,"1",0.903441165115002,1,1,1,0,0,0
"AFFILLIATED MD - REJUVENATION","JPMORGAN CHASE BANK NATL ASSOC",1,4,"2","N",80000,"CHGOFF",80000,40000,"0",0.337756821590758,0,1,0,1,0,0
"RUSTLER'S INC.","U.S. BANK NATIONAL ASSOCIATION",96,30,"2","N",75000,"P I F",75000,60000,"1",0.883062570448519,1,1,1,0,0,0
"PRIDEMARK PARAMEDIC SERVICES,","COMMERCE BANK",48,0,"1","N",475000,"P I F",475000,427500,"1",0.617590280336215,1,1,1,0,0,0
"RED CARPET INN","OLD FLORIDA BANK",276,10,"1","N",1300000,"P I F",1300000,975000,"1",0.996162184262706,1,1,1,0,0,0
"FABULOUS FLOORS, INC.","FIRST NIAGARA BANK NATL ASSOC",120,7,"1","N",150000,"P I F",150000,112500,"1",0.920806038086436,1,1,1,0,0,0
"WORM BOOK AND MUSIC STORE","NATIONAL BANK OF ARIZONA",84,3,"1","Y",91890,"P I F",91890,73512,"1",0.931134131009018,1,1,1,0,0,0
"TWO BELLS, INC.","U.S. BANK NATIONAL ASSOCIATION",60,25,"1","N",70000,"P I F",70000,63000,"1",0.780507216206625,1,1,1,0,0,0
"CROWN PRESS","PROSPERITY BANK",120,7,"1","N",180000,"P I F",180000,135000,"1",0.91933216356046,1,1,1,0,0,0
"PROACT SERVICES CORPORATION","THE HUNTINGTON NATIONAL BANK",84,0,"1","N",710531,"P I F",350000,175000,"1",0.819434031939093,1,1,1,0,0,0
"Wilnick Saint-Clermont dba Wil","BANK OF AMERICA NATL ASSOC",69,8,"1","N",51300,"CHGOFF",50000,25000,"0",0.779299131160633,1,0,0,0,1,0
"DA ROCK CONSULTANT, LLC","CENTRAL PACIFIC BANK",84,1,"1","N",12462,"P I F",10000,5000,"1",0.830005321971819,1,1,1,0,0,0
"STEVEN J GLOVER DBA ELAB SMOKE","JPMORGAN CHASE BANK NATL ASSOC",48,1,"1","N",10000,"P I F",10000,5000,"1",0.667806108580731,1,1,1,0,0,0
"BMJ VISION CARE PC","CITIZENS BANK NATL ASSOC",84,5,"1","N",19970,"P I F",5000,2500,"1",0.838926400141221,1,1,1,0,0,0
"MILLENNIUM TRADERS INC. II","CITIZENS BANK NATL ASSOC",30,6,"1","N",75000,"CHGOFF",50000,25000,"0",0.57360871207105,1,0,0,0,1,0
"ACCURATE CONCRETE SAWING INC","ANCHOR BANK NATL ASSOC",84,3,"1","N",248799,"P I F",65000,32500,"1",0.845438373463766,1,1,1,0,0,0
"SOHRE'S KITCHENS & BATHS","COMMUNITY BANK & TRUST",180,3,"1","N",315000,"P I F",315000,236250,"1",0.977452469620425,1,1,1,0,0,0
"WATERWORKS CARWASH LLC","HAMILTON CNTY DEVEL COMPANY IN",240,6,"1","N",300000,"P I F",300000,300000,"1",0.995494751168217,1,1,1,0,0,0
"ANVIL PUB","ROCKLAND TRUST COMPANY",240,5,"1","N",200000,"P I F",200000,150000,"1",0.995258230610274,1,1,1,0,0,0
"Castleman Corner Daycare","BBCN BANK",76,3,"1","N",5000,"CHGOFF",5000,4250,"0",0.805221781070336,1,0,0,0,1,0
"THE SAGE TREE","WELLS FARGO BANK NATL ASSOC",84,9,"2","N",70000,"P I F",70000,56000,"1",0.813023759420541,1,1,1,0,0,0
"Hanley Investment Group, Inc.","CITY NATIONAL BANK",84,10,"1","N",250000,"P I F",250000,125000,"1",0.810005471741534,1,1,1,0,0,0
"EDEN NAILS","CITIZENS BANK NATL ASSOC",60,1,"2","N",20000,"P I F",20000,10000,"1",0.690386535936361,1,1,1,0,0,0
"RED J ENVIRONMENTAL CORP","WELLS FARGO BANK NATL ASSOC",69,12,"1","N",83970,"P I F",40000,20000,"1",0.795011944945742,1,1,1,0,0,0
"CENTER BAIT & TACKLE","SOUTHERN MICHIGAN BANK & TRUST",211,2,"1","Y",150000,"CHGOFF",150000,112500,"0",0.996564395038642,1,0,0,0,1,0
"Glazing Saddles LLC","AMERICAN BANK OF COMMERCE",12,225,"2","N",300000,"P I F",300000,150000,"1",0.891583257319884,1,1,1,0,0,0
"FOOTHILLS IMPORT AUTOMOTIVE SP","CAPITAL ONE NATL ASSOC",84,6,"1","N",125000,"P I F",125000,62500,"1",0.82173718303137,1,1,1,0,0,0
"BAY AREA BISCOTTI COMPANY","BANK OF AMERICA NATL ASSOC",84,4,"1","N",30000,"P I F",30000,27000,"1",0.834426777709037,1,1,1,0,0,0
"KS CONTRACTING CORP","BANK OF AMERICA NATL ASSOC",48,1,"1","N",310752,"P I F",250000,125000,"1",0.622894481037508,1,1,1,0,0,0
"BEST BAGELS IN TOWN","TRANSAMERICA SMALL BUS. CAPITA",88,10,"1","N",198000,"CHGOFF",198000,148500,"0",0.841757459888697,1,0,0,0,1,0
"AUDIO WERKS OF CINCINNATI LLC","U.S. BANK NATIONAL ASSOCIATION",84,3,"2","N",25000,"P I F",25000,12500,"1",0.804056993764423,1,1,1,0,0,0
"HEALTHY FOOTWEAR","BBCN BANK",61,2,"2","N",5000,"CHGOFF",5000,2500,"0",0.701449003350069,1,0,0,0,1,0
"GILSTRAP ASSOCIATES","WELLS FARGO BANK NATL ASSOC",300,6,"1","N",171000,"P I F",171000,136800,"1",0.998958550009073,1,1,1,0,0,0
"CSI SALES & SERVICE INC","CITIZENS BANK NATL ASSOC",84,4,"1","N",47997,"P I F",35000,17500,"1",0.832811531280885,1,1,1,0,0,0
"DIAGATRON, INC.","FIRST-CITIZENS BK & TR CO",240,12,"1","N",142000,"P I F",142000,127800,"1",0.995937986818585,1,1,1,0,0,0
"CCI DIVERSIFIED INC","WELLS FARGO BANK NATL ASSOC",84,20,"1","N",99000,"P I F",99000,79200,"1",0.854436970513081,1,1,1,0,0,0
"Crabtree Enterprises, Inc.","JPMORGAN CHASE BANK NATL ASSOC",84,6,"2","N",83546,"P I F",30000,15000,"1",0.815578848127943,1,1,1,0,0,0
"FORTUNE INTERNATIONAL GROUP IN","EAST WEST BANK",60,4,"1","N",382897,"P I F",150000,75000,"1",0.745327175362158,1,1,1,0,0,0
"MEGA PRO INTERNATIONAL","MOUNTAIN W. SMALL BUS. FINAN",240,18,"1","N",321000,"P I F",321000,321000,"1",0.996088240333805,1,1,1,0,0,0
"MYSTIC FIRE","FARMERS & MERCHANTS BK OF CENT",17,1,"1","N",20000,"CHGOFF",20000,17000,"0",0.483882111873202,0,1,0,1,0,0
"Sports Town","BBCN BANK",44,2,"1","N",20000,"CHGOFF",20000,17000,"0",0.648383615898596,1,0,0,0,1,0
"Lake West Chiropractic And Nat","VOYAGER BANK",120,11,"1","N",300000,"P I F",300000,225000,"1",0.91702772282002,1,1,1,0,0,0
"HERITAGE INN OF BOWLING GREEN","JPMORGAN CHASE BANK NATL ASSOC",180,10,"2","N",585750,"P I F",585750,497888,"1",0.972786023838829,1,1,1,0,0,0
"PLAY IT AGAIN SPORTS","BANK OF AMERICA NATL ASSOC",60,4,"1","Y",25000,"P I F",25000,22500,"1",0.887936241963285,1,1,1,0,0,0
"DJ SHOW ENTERTAINMENT","BBCN BANK",70,1,"1","N",5000,"CHGOFF",5000,4250,"0",0.776769923744043,1,0,0,0,1,0
"GRAND DESTINY GROUP","BANK OF AMERICA NATL ASSOC",84,6,"1","N",150000,"P I F",150000,75000,"1",0.817967938850875,1,1,1,0,0,0
"DOLLAR TOP","BBCN BANK",69,2,"2","N",228000,"CHGOFF",228000,114000,"0",0.69493987445436,1,0,0,0,1,0
"CLEM ELECTRICAL SERVICE, INC.","REGIONS BANK",72,1,"2","Y",20000,"P I F",20000,16000,"1",0.89529720401754,1,1,1,0,0,0
"INDUSTRIAL MOTOR&CONTROLS CORP","LAKE CNTY SMALL BUS. CORP",240,17,"1","N",205000,"P I F",205000,205000,"1",0.996181404562322,1,1,1,0,0,0
"XTREME FASHIONS INC.","CITIZENS BANK NATL ASSOC",48,2,"1","N",50000,"CHGOFF",50000,25000,"0",0.661462318806036,1,0,0,0,1,0
"DIGITAL DISPLAY SOLUTIONS INC","TEXSTAR NATIONAL BANK",60,8,"1","N",100000,"P I F",100000,50000,"1",0.728722400293848,1,1,1,0,0,0
"MASTONI'S TAKE-N-BANKE PIZZA,","SENTRY BANK",84,14,"2","N",80000,"P I F",80000,68000,"1",0.822198189647217,1,1,1,0,0,0
"NORDEX INTERNATIONAL INC","CITIZENS BANK NATL ASSOC",60,27,"1","N",150000,"P I F",150000,75000,"1",0.763540426935113,1,1,1,0,0,0
"INTERSTATE DRAPERY HARDWARE","WELLS FARGO BANK NATL ASSOC",84,1,"2","N",40000,"P I F",40000,36000,"1",0.801288482125276,1,1,1,0,0,0
"BIG VALLEY EQUINE SERVICES INC","WELLS FARGO BANK NATL ASSOC",276,3,"1","N",270500,"P I F",270500,221810,"1",0.997947999766371,1,1,1,0,0,0
"PRIORITY PRINTING AND MARKETIN","U.S. BANK NATIONAL ASSOCIATION",84,20,"1","N",158892,"P I F",45000,22500,"1",0.866933928617996,1,1,1,0,0,0
"Claims Management Services, In","CITIZENS BANK NATL ASSOC",84,2,"1","N",136627,"P I F",50000,25000,"1",0.835415177479009,1,1,1,0,0,0
"Southern Prestige Inds, Inc.","YADKIN BANK",12,50,"1","N",410600,"P I F",410600,205300,"1",0.502542489707149,1,1,1,0,0,0
"NORTH METRO SAW","MINNESOTA BUS. FINAN CORP",240,5,"1","N",201000,"P I F",201000,201000,"1",0.995578457761802,1,1,1,0,0,0
"ST VRAIN MOVING & STORAGE INC","BANK OF AMERICA NATL ASSOC",84,60,"1","N",260000,"P I F",260000,130000,"1",0.886800889412278,1,1,1,0,0,0
"STAR CLEANERS","EAST WEST BANK",87,1,"2","N",220000,"P I F",220000,165000,"1",0.79239682270496,1,1,1,0,0,0
"DIAMOND INDUSTRIES","1ST CIT. NATL BK OF UPPER SAN",96,30,"2","N",600000,"P I F",600000,510000,"1",0.852003774705679,1,1,1,0,0,0
"RODY PAZ CASANOVA DDS INC","BANCO POPULAR NORTH AMERICA",35,2,"1","N",42436,"CHGOFF",20000,10000,"0",0.598363089979081,1,0,0,0,1,0
"CUSTOMS & CLASSICS","REGIONS BANK",57,5,"1","Y",90000,"CHGOFF",90000,72000,"0",0.877186682283575,1,0,0,0,1,0
"HUCKLEBERRY HAVEN, INC.","FIRST INTERSTATE BANK",12,7,"1","N",100000,"P I F",100000,80000,"1",0.459478169802787,0,0,0,0,0,1
"ALATEX INC","COMMERCE BANK",84,14,"1","N",275000,"P I F",275000,233750,"1",0.833389283117314,1,1,1,0,0,0
"SANDSTONE MANOR ASSISTED LIVIN","WELLS FARGO BANK NATL ASSOC",170,5,"2","N",415700,"P I F",415700,311775,"1",0.964413851382459,1,1,1,0,0,0
"CHUCK ROAST EQUIPMENT, INC.","NORTHWAY BANK",20,40,"1","N",300000,"P I F",300000,225000,"1",0.574918412833029,1,1,1,0,0,0
"HARBOR LIGHT, INC., DICKINSON","READYCAP LENDING, LLC",120,7,"1","N",85000,"P I F",85000,68850,"1",0.924419680902605,1,1,1,0,0,0
"HEISER TIRE SERVICE","BANK OF AMERICA NATL ASSOC",84,3,"1","N",50000,"P I F",50000,25000,"1",0.827442283652075,1,1,1,0,0,0
"J-MART GROCERY","CITIZENS DEPOSIT BANK & TRUST",89,3,"1","N",51500,"CHGOFF",51500,46350,"0",0.847886669075761,1,0,0,0,1,0
"SALON EXCELLENCE","ALTURA CU",77,12,"1","N",238347,"P I F",110000,55000,"1",0.824649814019492,1,1,1,0,0,0
"Charles C. Lee, DDS, Inc.","WELLS FARGO BANK NATL ASSOC",300,5,"1","N",485900,"P I F",485900,437310,"1",0.99881181861772,1,1,1,0,0,0
"City Pharmacy","BUSINESS LOAN CENTER, LLC",84,1,"2","N",25000,"P I F",25000,21250,"1",0.802096392041727,1,1,1,0,0,0
"INCITE WORLD LLC","ZIONS FIRST NATIONAL BANK",84,60,"2","N",172066,"P I F",100000,50000,"1",0.890723325395467,1,1,1,0,0,0
"F/V MARY LOU","TRUSTMARK NATIONAL BANK",93,12,"1","N",130000,"CHGOFF",130000,117000,"0",0.868986704668772,1,0,0,0,1,0
"SANDRA C. HUTCHINSON DBA SANDR","CAPITAL ONE NATL ASSOC",84,1,"1","N",15000,"P I F",15000,7500,"1",0.829005028623923,1,1,1,0,0,0
"ADVANCE CELLULAR COMMUNICATION","PNC BANK, NATIONAL ASSOCIATION",79,3,"2","N",29801,"P I F",25000,12500,"1",0.784605638086053,1,1,1,0,0,0
"W.B. CODY'S RESTAURANT, LLC.","WASHINGTON TR CO OF WESTERLY",84,35,"1","Y",130000,"P I F",130000,110500,"1",0.95196374486435,1,1,1,0,0,0
"QUEEN CITY PAINTING & DECOR, I","FIFTH THIRD BANK",8,6,"1","N",80000,"P I F",80000,64000,"1",0.435057446864514,0,0,0,0,0,1
"ERNST TRENCHING, INC.","BELL STATE BANK & TRUST",60,30,"1","N",220000,"P I F",220000,165000,"1",0.771263923326467,1,1,1,0,0,0
"LE GRAND CONFECTIONARY","BANK OF THE WEST",120,5,"1","N",96000,"P I F",96000,76800,"1",0.922116168668597,1,1,1,0,0,0
"CANDIELAND DAY CARE CENTER","JPMORGAN CHASE BANK NATL ASSOC",180,6,"1","Y",51200,"P I F",51200,46080,"1",0.993529504228161,1,1,1,0,0,0
"TOP SHAPE, INC.","BANK OF ST. FRANCISVILLE",60,5,"2","N",35000,"P I F",35000,26600,"1",0.700346141082949,1,1,1,0,0,0
"R S MACHINE INC","CITIZENS BANK NATL ASSOC",84,5,"1","N",30002,"P I F",25000,12500,"1",0.835053413005131,1,1,1,0,0,0
"FULFER ELECTRIC, LLC","FIRST AMERICAN BANK",54,50,"1","N",660915,"CHGOFF",660915,495686,"0",0.735126108434987,1,0,0,0,1,0
"RAWSON METAL WORKS, INC.","AMER BK OF COMM. D/B/A AMBANK",284,12,"1","N",665000,"P I F",665000,498750,"1",0.997984216609413,1,1,1,0,0,0
"ART A LA CARTE","U.S. BANK NATIONAL ASSOCIATION",60,2,"1","N",35000,"P I F",35000,31500,"1",0.731063683975373,1,1,1,0,0,0
"QUEST LASER CUT","PNC BANK, NATIONAL ASSOCIATION",84,2,"1","N",352806,"P I F",352806,264605,"1",0.797474284716708,1,1,1,0,0,0
"MARSH COMPANY, P.A.","WACHOVIA SBA LENDING, INC.",84,2,"2","N",150000,"P I F",150000,112500,"1",0.789976865668208,1,1,1,0,0,0
"Gregory G. Hatmaker dba Hat's","SANTANDER BANK NATL ASSOC",36,6,"1","N",30000,"P I F",30000,15000,"1",0.609351333019196,1,1,1,0,0,0
"KUNZ CHIROPRACTIC PC","FIRST NATIONAL BANK OF OMAHA",84,3,"2","N",87164,"P I F",90000,76500,"1",0.800220835103352,1,1,1,0,0,0
"Hardesty Moving & Storage Corp","STAR FINANCIAL BANK",60,6,"1","N",165000,"P I F",165000,148500,"1",0.729124834736382,1,1,1,0,0,0
"PICKS, INC.","ZIONS FIRST NATIONAL BANK",84,8,"1","N",110178,"P I F",50000,25000,"1",0.84258514954617,1,1,1,0,0,0
"Aaron Beck Enterprises, LLC","BANK OF AMERICA NATL ASSOC",37,12,"1","N",130000,"CHGOFF",130000,65000,"0",0.608576407337294,1,0,0,0,1,0
"Bickel Communications Inc.","BANK OF AMERICA NATL ASSOC",66,1,"1","N",40000,"CHGOFF",25000,12500,"0",0.757251417426463,1,0,0,0,1,0
"BAYCO STONE INC","STATE BANK & TRUST COMPANY",6,2,"2","N",49445,"CHGOFF",25000,12500,"0",0.377685442983754,0,1,0,1,0,0
"MOBILE MEDIA MARKETING GROUP L","TALMER BANK AND TRUST",12,3,"1","N",158000,"P I F",125000,62500,"1",0.436985873782145,0,0,0,0,0,1
"Taylor Designed Pet Products L","BBCN BANK",63,8,"1","N",35000,"CHGOFF",35000,29750,"0",0.758702180557226,1,0,0,0,1,0
"HOLLYWOOD TRANSOCEAN CO","BANK OF AMERICA NATL ASSOC",84,3,"2","N",35000,"P I F",35000,17500,"1",0.802443651555931,1,1,1,0,0,0
"STUART H FINKELSTEIN ESQ","JPMORGAN CHASE BANK NATL ASSOC",84,2,"1","N",40000,"P I F",40000,20000,"1",0.827133062271142,1,1,1,0,0,0
"THE ENERGY CONCERN, INC.","FIFTH THIRD BANK",180,7,"2","Y",148000,"P I F",148000,74000,"1",0.991314540704211,1,1,1,0,0,0
"CENTRAL PLAINS AG & FREIGHT","WELLS FARGO BANK NATL ASSOC",35,1,"2","N",60643,"CHGOFF",60643,51547,"0",0.54376676164814,1,0,0,0,1,0
"ADVANCED LIGHTWAVE SYSTEMS","BANK OF NO. GEORGIA A DIVISION",60,3,"2","Y",100000,"P I F",100000,80000,"1",0.861503745819032,1,1,1,0,0,0
"ARCHER CONSTRUCTION AND CUSTOM","ZIONS FIRST NATIONAL BANK",55,5,"1","N",123567,"CHGOFF",84000,42000,"0",0.705998727916575,1,0,0,0,1,0
"SCIENCE, ART & MORE","AMERICANWEST BANK",84,1,"1","Y",88000,"P I F",88000,70400,"1",0.929682441507483,1,1,1,0,0,0
"THE COMMUNICATORS, INC.","BRANCH BK. & TR CO",84,2,"1","N",205000,"P I F",205000,153750,"1",0.812954811257806,1,1,1,0,0,0
"A TOUCH OF CLASS","AMERICAN STATE BANK",120,2,"2","Y",20000,"P I F",20000,18000,"1",0.965834671516098,1,1,1,0,0,0
"INTRASERVE SYSTEMS INC","BANK OF AMERICA NATL ASSOC",84,6,"1","N",89500,"P I F",89500,44750,"1",0.826984098915457,1,1,1,0,0,0
"STAMPOLOGY CHICAGO, INC.","CITIZENS BANK NATL ASSOC",13,1,"2","N",10500,"P I F",10500,5250,"1",0.414756518428185,0,0,0,0,0,1
"THE NETWORK EDGE INC","JPMORGAN CHASE BANK NATL ASSOC",36,2,"2","N",50000,"P I F",50000,25000,"1",0.54819884369685,1,1,1,0,0,0
"Spirit Of The Wood, Inc.","BBCN BANK",84,2,"1","N",10000,"P I F",10000,8500,"1",0.83215924141477,1,1,1,0,0,0
"QUALITY PLUMBING AND HEATING","COLORADO BK & TR CO",84,2,"2","Y",24000,"P I F",24000,20400,"1",0.920769259362754,1,1,1,0,0,0
"MMA CONSULTING GROUP, INC.","DANVERSBANK",117,13,"2","N",153000,"P I F",200000,170000,"1",0.902890053816069,1,1,1,0,0,0
"SURFACEWORKS INC","BANK OF AMERICA NATL ASSOC",84,4,"1","N",30000,"P I F",30000,15000,"1",0.832073914929942,1,1,1,0,0,0
"DUNDIDIT TRANSPORTATION INC","SIMMONS FIRST NATIONAL BANK",5,2,"2","N",42000,"CHGOFF",42000,21000,"0",0.363343889527117,0,1,0,1,0,0
"CHARTER CONNECTION CORPORATION","WELLS FARGO BANK NATL ASSOC",170,30,"1","N",700000,"CHGOFF",700000,525000,"0",0.973409081656462,1,0,0,0,1,0
"WILLIAMSBURG FAST STOP","IOWA BUSINESS GROWTH COMPANY",240,5,"1","N",124000,"P I F",124000,124000,"1",0.995684042873812,1,1,1,0,0,0
"LA LECHONERA RESTAURANT","BANK OF AMERICA NATL ASSOC",83,1,"1","N",24050,"P I F",14000,7000,"1",0.826791157821791,1,1,1,0,0,0
"ANI-MALL VETERINARY MEDICINE,","EMPIRE ST. CERT. DEVEL CORP",240,14,"1","N",436000,"P I F",436000,436000,"1",0.995739512624748,1,1,1,0,0,0
"Active Solutions Incorporated","JPMORGAN CHASE BANK NATL ASSOC",57,1,"1","N",38619,"CHGOFF",25000,12500,"0",0.714065202230633,1,0,0,0,1,0
"Ben and Julie Inc","BANK OF AMERICA NATL ASSOC",36,1,"1","N",84217,"P I F",50000,25000,"1",0.596202315641273,1,1,1,0,0,0
"ELECTRIC MOTOR & SUPPLY CO.","OREGON BUS. DEVEL CORP",240,9,"1","N",104000,"P I F",114000,114000,"1",0.995871722565611,1,1,1,0,0,0
"Lakeside Cleaning Services, In","ASSOCIATED BANK NATL ASSOC",84,10,"1","N",100000,"P I F",100000,50000,"1",0.832461499735407,1,1,1,0,0,0
"Robert Sheehan dba Sheehan Law","BANK OF AMERICA NATL ASSOC",36,2,"2","N",5000,"P I F",5000,2500,"1",0.559549599194697,1,1,1,0,0,0
"GOLDEN CORRAL","MANUFACTURERS & TRADERS TR CO",84,40,"1","N",181600,"P I F",181600,136200,"1",0.876003904885881,1,1,1,0,0,0
"PET COUNTRY","JPMORGAN CHASE BANK NATL ASSOC",84,2,"2","N",50000,"P I F",50000,25000,"1",0.798017953061244,1,1,1,0,0,0
"KASANDRA INC","MOUNTAIN AMERICA FCU",300,1,"2","N",444000,"P I F",444000,333000,"1",0.998387744021508,1,1,1,0,0,0
"PARAMOUNT GRILLE & BAKEHOUSE L","COMMUNITY BANK & TRUST",278,2,"2","N",626000,"CHGOFF",626000,563400,"0",0.997297074816495,1,0,0,0,1,0
"NIGAM, INC.","WELLS FARGO BANK NATL ASSOC",240,10,"1","N",488000,"P I F",488000,366000,"1",0.994600603721351,1,1,1,0,0,0
"THE EFIRD CORPORATION OF N C","CENTRALINA DEVEL CORPORATION I",240,18,"1","N",266000,"P I F",266000,266000,"1",0.996155225615002,1,1,1,0,0,0
"Motu Tane,LLC.","BANK OF AMERICA NATL ASSOC",36,1,"2","N",12500,"P I F",10000,5000,"1",0.555731557893877,1,1,1,0,0,0
"DENNY CONCRETE, INC. AND SOUTH","ESSENTIAL CAP. FINANCE INC.",240,19,"1","N",188000,"P I F",188000,188000,"1",0.996294230250776,1,1,1,0,0,0
"CICI'S PIZZA","WELLS FARGO BANK NATL ASSOC",108,25,"2","N",230000,"P I F",230000,172500,"1",0.895312345621252,1,1,1,0,0,0
"FAITH FUN AND FOOD LLC","ALPINE BANK & TRUST CO.",94,10,"1","N",160000,"P I F",160000,80000,"1",0.856666156352671,1,1,1,0,0,0
"LABORATORY SYSTEMS SERVICES","LOANS FROM OLD CLOSED LENDERS",84,9,"1","N",250000,"P I F",250000,200000,"1",0.82397456740949,1,1,1,0,0,0
"MEDICAL INFORMATION SERVICES,I","BANCFIRST",49,9,"2","N",165000,"CHGOFF",165000,123750,"0",0.631940729290823,1,0,0,0,1,0
"LINE-X OF MASS., INC.","ROCKLAND TRUST COMPANY",84,2,"2","Y",40000,"P I F",40000,36000,"1",0.920359117661647,1,1,1,0,0,0
"FRESH TAKE MARKETING INC","VALLEY VIEW STATE BANK",32,11,"2","N",113000,"CHGOFF",113000,96050,"0",0.549306410583292,1,0,0,0,1,0
"KAO ENTERPRISES LLC","FARMERS BK & TRUST NATL ASSOC",88,1,"2","Y",135000,"P I F",135000,114750,"1",0.922753569098247,1,1,1,0,0,0
